state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
Uttar Pradesh,Sitapur,261201,3178,2426,86,5690
Uttar Pradesh,Bareilly,243201,3936,1647,73,5656
Meghalaya,East Khasi Hills,793121,728,2844,1926,5498
Uttar Pradesh,Pilibhit,262001,3796,1581,61,5438
Maharashtra,Thane,400612,3140,2169,101,5410
Jharkhand,Pakur,816107,2850,2374,39,5263
Madhya Pradesh,Barwani,451551,2909,2092,191,5192
Uttar Pradesh,Hapur,245101,3115,2031,29,5175
Uttar Pradesh,Meerut,250001,3073,2035,54,5162
Rajasthan,Bikaner,334001,3205,1774,115,5094
Uttarakhand,Dehradun,248001,3945,1015,117,5077
Madhya Pradesh,Indore,452001,3508,1159,330,4997
Bihar,West Champaran,845438,2065,2813,73,4951
Rajasthan,Nagaur,341001,3003,1805,78,4886
West Bengal,Uttar Dinajpur,733207,2828,1965,54,4847
Uttar Pradesh,Bareilly,243001,2695,1971,177,4843
Uttar Pradesh,Budaun,243601,2532,2151,99,4782
Delhi,East Delhi,110092,3396,1202,152,4750
Uttar Pradesh,Pilibhit,262122,2846,1816,84,4746
Uttar Pradesh,Lucknow,226003,2514,2084,101,4699
Haryana,Panipat,132103,4103,466,42,4611
Meghalaya,West Khasi Hills,793120,816,2212,1532,4560
Uttar Pradesh,Ghaziabad,201001,2479,1991,73,4543
West Bengal,Uttar Dinajpur,733202,2703,1651,37,4391
Meghalaya,West Garo Hills,794104,1855,1658,863,4376
Uttar Pradesh,Bahraich,271801,1931,2224,174,4329
Gujarat,Surat,394210,2808,1414,84,4306
Uttar Pradesh,Maharajganj,273164,1424,2535,184,4143
Meghalaya,East Khasi Hills,793015,465,1994,1672,4131
Madhya Pradesh,Gwalior,474001,2847,997,256,4100
Uttar Pradesh,Bareilly,243503,2429,1599,71,4099
Madhya Pradesh,Shivpuri,473551,2136,1791,170,4097
Bihar,Sitamarhi,843331,2346,1588,148,4082
Manipur,Churachandpur,795128,1015,2938,87,4040
Chhattisgarh,Bijapur,494444,2134,967,878,3979
Rajasthan,Sirohi,307026,1808,1977,156,3941
Uttar Pradesh,Sitapur,261205,1937,1824,177,3938
Madhya Pradesh,Sheopur,476337,2116,1718,72,3906
Uttar Pradesh,Shahjahanpur,242221,2015,1798,80,3893
Madhya Pradesh,Gwalior,475110,2225,1474,170,3869
Gujarat,Surat,395010,2583,1171,68,3822
Telangana,Hyderabad,500008,2692,1034,69,3795
Maharashtra,Thane,401107,2172,1527,89,3788
Madhya Pradesh,Morena,476221,2257,1419,101,3777
Bihar,Sitamarhi,843317,1584,1906,279,3769
Uttar Pradesh,Fatehpur,212601,1843,1830,91,3764
Bihar,Nalanda,803101,845,2855,36,3736
Uttar Pradesh,Kheri,262804,1988,1672,56,3716
Uttar Pradesh,Balrampur,271604,1026,2609,76,3711
Uttar Pradesh,Agra,282006,1901,1704,77,3682
Maharashtra,Beed,431122,2660,847,136,3643
Rajasthan,Jaipur,302012,2601,958,70,3629
Haryana,Mewat,122508,3286,297,15,3598
West Bengal,Dinajpur Uttar,733207,1669,1844,67,3580
Uttar Pradesh,Mainpuri,205001,1660,1855,64,3579
West Bengal,Murshidabad,742202,3137,435,2,3574
Meghalaya,East Garo Hills,794111,548,1978,1023,3549
Madhya Pradesh,Dewas,455001,3030,463,42,3535
Meghalaya,West Jaintia Hills,793151,490,1776,1252,3518
Meghalaya,East Khasi Hills,793110,469,1815,1220,3504
Uttar Pradesh,Shahjahanpur,242127,1252,2081,142,3475
Uttar Pradesh,Muzaffarnagar,251001,2110,1274,54,3438
Uttar Pradesh,Gautam Buddha Nagar,201306,1630,1700,96,3426
Madhya Pradesh,Bhopal,462001,2930,447,46,3423
Bihar,Madhubani,847108,1083,2074,239,3396
Uttar Pradesh,Banda,210001,1667,1626,95,3388
Assam,Goalpara,783129,2440,567,311,3318
Bihar,East Champaran,845401,1012,2263,41,3316
Maharashtra,Thane,421301,2390,882,39,3311
Bihar,Muzaffarpur,843111,1365,1866,70,3301
Gujarat,Surat,395006,2387,841,63,3291
Uttar Pradesh,Hardoi,241124,1528,1665,42,3235
Gujarat,Morbi,363641,2288,768,172,3228
Bihar,Gaya,823001,803,2378,38,3219
Madhya Pradesh,Katni,483501,2345,824,31,3200
Delhi,West Delhi,110018,2278,743,162,3183
Meghalaya,East Jaintia Hills,793200,495,1493,1193,3181
Meghalaya,Ri Bhoi,793102,414,1611,1151,3176
Delhi,North East Delhi,110053,2171,980,18,3169
West Bengal,Uttar Dinajpur,733210,2235,909,6,3150
Jharkhand,Deoghar,815353,1653,1434,56,3143
Uttar Pradesh,Siddharthnagar,272153,1126,1952,61,3139
Bihar,Lakhisarai,811311,1306,1792,38,3136
Bihar,Pashchim Champaran,845438,975,2084,74,3133
Madhya Pradesh,Dhar,454446,2015,998,119,3132
Uttar Pradesh,Bahraich,271902,927,2038,163,3128
Bihar,West Champaran,845449,1189,1855,82,3126
Madhya Pradesh,Khargone,451332,1625,1348,147,3120
Rajasthan,Churu,331403,1559,1495,62,3116
Madhya Pradesh,Bhind,477001,2215,794,94,3103
Haryana,Faridabad,121001,2475,524,62,3061
Rajasthan,Jalor,343041,1460,1574,21,3055
Uttar Pradesh,Sultanpur,228001,1473,1495,83,3051
Punjab,Ludhiana,141008,2074,888,84,3046
Gujarat,Valsad,396065,2163,733,144,3040
Bihar,Bhagalpur,853204,1534,1446,58,3038
Uttar Pradesh,Maharajganj,273303,853,2123,52,3028
Uttar Pradesh,Chandauli,232101,1208,1661,126,2995
Bihar,Araria,854311,2190,785,7,2982
Bihar,West Champaran,845455,1144,1708,128,2980
Punjab,Ludhiana,141007,2033,790,145,2968
Madhya Pradesh,Vidisha,464221,2136,730,75,2941
Uttar Pradesh,Sitapur,261001,1565,1333,42,2940
Assam,Hojai,782446,2352,515,68,2935
Jharkhand,Giridih,815312,1607,1303,22,2932
Madhya Pradesh,Alirajpur,457990,1298,1430,201,2929
Delhi,South West Delhi,110045,2101,677,136,2914
Gujarat,Banas Kantha,385535,1334,1471,105,2910
Maharashtra,Mumbai Suburban,400043,1726,1117,51,2894
Rajasthan,Ajmer,305001,2203,617,69,2889
Uttar Pradesh,Bahraich,271830,835,1826,221,2882
Uttar Pradesh,Banda,210121,1216,1598,46,2860
Assam,Nagaon,782124,2116,658,84,2858
Bihar,Saharsa,852127,1355,1432,66,2853
Haryana,Gurgaon,122001,2180,611,59,2850
Rajasthan,Bharatpur,321001,1697,1118,33,2848
Madhya Pradesh,Guna,473001,2377,436,30,2843
Bihar,Bhagalpur,812005,1415,1344,80,2839
Bihar,Gaya,824232,725,2069,34,2828
Uttar Pradesh,Hathras,204101,1638,1127,38,2803
Bihar,Araria,854318,1664,1089,24,2777
Madhya Pradesh,Jhabua,457779,1357,1363,53,2773
Maharashtra,Jalgaon,425001,2195,473,102,2770
Meghalaya,Ri Bhoi,793105,451,1266,1051,2768
Delhi,West Delhi,110041,2115,629,22,2766
Bihar,Purnia,854315,2100,644,3,2747
Delhi,North West Delhi,110086,2263,455,26,2744
Assam,Kamrup,781136,1817,721,202,2740
Uttar Pradesh,Rampur,244921,1564,1141,30,2735
Uttar Pradesh,Amroha,244221,1875,819,37,2731
West Bengal,Dinajpur Uttar,733210,1734,979,14,2727
Meghalaya,West Garo Hills,794103,595,1165,953,2713
Uttar Pradesh,Bulandshahr,203131,1431,1259,20,2710
Delhi,North West Delhi,110085,2154,484,69,2707
Bihar,Saran,841301,798,1879,27,2704
Maharashtra,Thane,421503,1594,995,108,2697
Bihar,Sitamarhi,843330,827,971,880,2678
Punjab,Patiala,147001,2096,517,62,2675
Uttar Pradesh,Kheri,261505,1175,1465,35,2675
Gujarat,Dohad,389151,1153,1403,118,2674
Meghalaya,South West Garo Hills,794115,1249,868,553,2670
Gujarat,Banaskantha,385535,1576,851,199,2626
Bihar,Gopalganj,841438,861,1739,23,2623
Delhi,South Delhi,110062,2081,519,22,2622
Maharashtra,Nandurbar,425414,1698,870,47,2615
West Bengal,South 24 Parganas,743329,1895,713,7,2615
Maharashtra,Dhule,425405,1444,1118,52,2614
Uttar Pradesh,Etawah,206001,1501,1061,46,2608
Madhya Pradesh,Ratlam,457001,2133,436,29,2598
Chhattisgarh,Bilaspur,495551,2071,515,11,2597
Madhya Pradesh,Morena,476111,1511,1001,69,2581
Uttar Pradesh,Bulandshahr,203001,1501,1022,54,2577
Uttar Pradesh,Budaun,243638,1266,1222,88,2576
Telangana,Hyderabad,500053,2053,497,22,2572
Madhya Pradesh,Datia,475661,1759,775,32,2566
Uttar Pradesh,Bareilly,243505,1749,770,33,2552
West Bengal,Uttar Dinajpur,733201,1752,767,31,2550
Assam,Barpeta,781308,1775,625,145,2545
Bihar,Gaya,824236,406,2063,71,2540
Assam,Dhubri,783348,1392,1039,106,2537
Rajasthan,Karauli,322230,1764,722,37,2523
Madhya Pradesh,Gwalior,474006,1666,759,91,2516
Meghalaya,West Garo Hills,794002,333,1305,862,2500
Jharkhand,Dhanbad,828109,1597,882,17,2496
Bihar,Purnia,854204,1171,1296,23,2490
Maharashtra,Latur,413517,1787,611,82,2480
Madhya Pradesh,Dhar,454001,1636,653,190,2479
Nagaland,Dimapur,797112,849,1382,245,2476
Madhya Pradesh,Barwani,451447,1457,939,69,2465
Madhya Pradesh,Singrauli,486886,2124,337,3,2464
Madhya Pradesh,Satna,485001,2075,316,64,2455
Madhya Pradesh,Khargone,451441,1442,895,113,2450
Madhya Pradesh,Indore,452016,1747,668,25,2440
Gujarat,Surat,395004,1774,599,60,2433
Uttar Pradesh,Kheri,262802,1092,1308,31,2431
Madhya Pradesh,Morena,476224,1577,797,40,2414
Bihar,Munger,811213,881,1481,50,2412
Meghalaya,East Garo Hills,794110,456,1316,636,2408
Bihar,West Champaran,845454,815,1509,31,2355
Bihar,East Champaran,845302,836,1403,107,2346
Maharashtra,Hingoli,431513,1779,441,115,2335
Uttar Pradesh,Gorakhpur,273001,690,1516,123,2329
Bihar,Gaya,823003,375,1869,78,2322
Uttar Pradesh,Jaunpur,222001,864,1361,81,2306
Bihar,Saharsa,852106,1055,1186,62,2303
Bihar,Saran,841403,607,1624,68,2299
Uttar Pradesh,Hardoi,241123,1029,1232,23,2284
Punjab,Ludhiana,141003,1469,639,169,2277
Bihar,Sitamarhi,843327,1073,1156,43,2272
Gujarat,Morbi,363621,1587,405,276,2268
Delhi,North West Delhi,110034,1593,553,119,2265
Madhya Pradesh,Chhatarpur,471405,1280,926,58,2264
Jharkhand,Ranchi,834001,1269,922,66,2257
Uttar Pradesh,Azamgarh,276001,701,1512,40,2253
Punjab,Ludhiana,141001,1579,589,83,2251
West Bengal,Dinajpur Uttar,733202,1134,1073,36,2243
Bihar,Madhubani,847226,1146,1027,55,2228
Bihar,Muzaffarpur,843109,1079,1094,52,2225
Rajasthan,Barmer,344702,1457,751,15,2223
Madhya Pradesh,Indore,452010,1642,541,36,2219
Madhya Pradesh,Morena,476115,1346,762,108,2216
Bihar,West Champaran,845307,769,1335,104,2208
Bihar,Gopalganj,841405,825,1327,52,2204
Madhya Pradesh,Indore,452002,1604,535,64,2203
Delhi,East Delhi,110091,1691,481,29,2201
Uttar Pradesh,Mirzapur,231001,1153,1041,3,2197
Madhya Pradesh,Sidhi,486661,1986,206,4,2196
Bihar,Katihar,854317,1547,638,3,2188
Uttar Pradesh,Hardoi,241402,814,1346,27,2187
Bihar,East Champaran,845433,753,1316,112,2181
Meghalaya,Ri Bhoi,793103,291,1117,768,2176
Bihar,East Champaran,845303,528,1558,90,2176
Uttar Pradesh,Rampur,244922,890,1248,27,2165
Bihar,Samastipur,848101,1175,956,23,2154
Bihar,Kaimur (Bhabua),821109,662,1462,28,2152
Meghalaya,South West Khasi Hills,793114,509,949,685,2143
Uttar Pradesh,Aligarh,202133,1006,1085,41,2132
Bihar,Patna,800001,472,1533,126,2131
Bihar,Gaya,824201,814,1293,23,2130
Madhya Pradesh,Chhatarpur,471313,1257,819,49,2125
Gujarat,Vadodara,390019,1335,670,120,2125
Assam,Marigaon,782127,1518,507,87,2112
Uttar Pradesh,Deoria,274001,860,1218,31,2109
Bihar,Jamui,811307,923,1146,40,2109
Jammu And Kashmir,Doda,182203,1547,537,23,2107
Maharashtra,Thane,421306,1301,768,29,2098
Madhya Pradesh,Umaria,484661,1706,373,17,2096
Bihar,Sitamarhi,843332,889,1067,136,2092
Bihar,Kishanganj,855101,1745,334,5,2084
Bihar,Sitamarhi,843314,1198,856,25,2079
Bihar,Muzaffarpur,843119,1145,890,42,2077
Gujarat,Gandhinagar,382721,1427,287,362,2076
Uttar Pradesh,Rampur,244924,1463,573,39,2075
Bihar,Muzaffarpur,842002,973,1002,100,2075
Madhya Pradesh,Bhind,477116,1183,760,131,2074
Uttar Pradesh,Bahraich,271851,874,1092,107,2073
Maharashtra,Palghar,401209,1134,873,61,2068
Gujarat,Dohad,389180,597,1368,103,2068
Uttarakhand,Nainital,263139,1761,237,63,2061
Madhya Pradesh,Dewas,455227,1427,587,30,2044
Bihar,Siwan,841226,780,1236,27,2043
Uttar Pradesh,Kasganj,207242,1104,881,55,2040
Bihar,Patna,801503,607,1380,46,2033
Bihar,Purbi Champaran,845401,507,1497,29,2033
Bihar,Purnia,854304,1267,742,23,2032
Maharashtra,Nandurbar,425412,1625,371,34,2030
Rajasthan,Tonk,304001,1382,607,35,2024
Assam,Karbi Anglong,782480,690,1116,217,2023
Rajasthan,Jodhpur,342301,1177,812,33,2022
Bihar,Gaya,824231,486,1486,50,2022
Jharkhand,Lohardaga,835302,1283,681,54,2018
Assam,Barpeta,781314,1527,428,60,2015
Assam,Karimganj,788724,1183,741,89,2013
Uttar Pradesh,Shamli,247776,1267,716,26,2009
Maharashtra,Raigad,410206,1451,502,55,2008
Uttar Pradesh,Kheri,262701,1095,893,16,2004
Madhya Pradesh,Vidisha,464228,1589,371,39,1999
Gujarat,Rajkot,360002,1546,340,111,1997
Uttar Pradesh,Balrampur,271208,541,1384,66,1991
Uttar Pradesh,Unnao,209861,1019,914,55,1988
Bihar,Kishanganj,855107,1576,406,1,1983
Bihar,West Champaran,845452,802,1135,46,1983
Uttar Pradesh,Bahraich,271881,603,1146,227,1976
West Bengal,Uttar Dinajpur,733208,1486,473,5,1964
Bihar,Madhubani,847421,640,1127,197,1964
Bihar,Purbi Champaran,845418,649,1259,55,1963
Uttar Pradesh,Siddharthnagar,272192,621,1280,62,1963
Rajasthan,Udaipur,313001,1268,658,30,1956
West Bengal,Cooch Behar,736135,1223,682,48,1953
Bihar,Pashchim Champaran,845455,702,1168,81,1951
Telangana,Hyderabad,500028,1386,504,58,1948
West Bengal,Malda,732125,1575,368,2,1945
Gujarat,Dahod,389151,1016,719,207,1942
Uttar Pradesh,Gorakhpur,273015,641,1257,41,1939
Uttar Pradesh,Shrawasti,271831,752,1132,48,1932
Gujarat,Patan,384265,1389,368,172,1929
Meghalaya,West Garo Hills,794105,657,745,526,1928
Uttar Pradesh,Gautam Buddha Nagar,201310,707,1132,87,1926
Jharkhand,Sahebganj,816108,1171,753,0,1924
Meghalaya,East Jaintia Hills,793160,487,854,582,1923
Uttar Pradesh,Pilibhit,262201,1164,719,39,1922
Uttar Pradesh,Bijnor,246701,1474,435,12,1921
Madhya Pradesh,Jabalpur,482001,1687,225,8,1920
Punjab,Kapurthala,144601,793,160,964,1917
Uttar Pradesh,Siddharthnagar,272206,761,1062,93,1916
Rajasthan,Alwar,301411,1230,639,47,1916
Uttar Pradesh,Shamli,247774,1331,570,7,1908
Assam,Kokrajhar,783370,1016,714,176,1906
Rajasthan,Sawai Madhopur,322201,1255,615,36,1906
Uttar Pradesh,Rampur,243701,1104,772,21,1897
Bihar,Jamui,811303,958,906,30,1894
Gujarat,Banas Kantha,385001,1058,736,99,1893
Uttar Pradesh,Agra,283201,1177,628,88,1893
Rajasthan,Dholpur,328021,1241,610,39,1890
Gujarat,Banas Kantha,385310,678,1079,128,1885
Uttar Pradesh,Shravasti,271831,709,1130,45,1884
Uttar Pradesh,Sitapur,261135,945,901,31,1877
Madhya Pradesh,Panna,488001,1318,502,50,1870
West Bengal,South 24 Parganas,743502,1608,244,8,1860
Rajasthan,Sirohi,307022,945,870,44,1859
Bihar,West Champaran,845101,734,1101,24,1859
Uttar Pradesh,Bulandshahr,203205,852,934,63,1849
Madhya Pradesh,Sehore,466331,1257,569,20,1846
Madhya Pradesh,Sagar,470001,1498,259,89,1846
Gujarat,Dohad,389170,598,1177,69,1844
Maharashtra,Mumbai Suburban,400072,1150,596,96,1842
Bihar,Banka,813101,983,821,31,1835
Bihar,Gopalganj,841428,684,1106,44,1834
Madhya Pradesh,Khargone,451001,1446,330,55,1831
Madhya Pradesh,Guna,473222,1192,627,12,1831
Uttar Pradesh,Hardoi,241204,1087,720,20,1827
Gujarat,Kachchh,370001,1410,338,70,1818
Uttar Pradesh,Bahraich,271903,636,1135,47,1818
Madhya Pradesh,Vidisha,464001,1437,343,36,1816
Uttarakhand,Haridwar,247667,1396,373,40,1809
Gujarat,Rajkot,360003,1320,350,139,1809
Uttar Pradesh,Varanasi,221002,786,996,26,1808
Uttar Pradesh,Agra,282007,862,891,54,1807
Uttar Pradesh,Bijnor,246725,1257,536,14,1807
Bihar,West Champaran,845453,704,1046,50,1800
Bihar,Sitamarhi,843313,843,882,72,1797
Jharkhand,Jamtara,815352,1337,449,7,1793
Jharkhand,Garhwa,822114,1424,367,2,1793
Punjab,Hoshiarpur,146001,1416,260,115,1791
Bihar,Jamui,811314,1103,660,26,1789
Telangana,Hyderabad,500064,1400,366,19,1785
Bihar,Bhagalpur,813210,856,887,41,1784
Uttar Pradesh,Kasganj,207243,685,1045,53,1783
Uttar Pradesh,Muzaffarnagar,251002,1191,553,36,1780
Maharashtra,Amravati,444601,1417,328,34,1779
Madhya Pradesh,Gwalior,475220,1116,614,47,1777
Bihar,Sitamarhi,843320,1014,736,25,1775
Bihar,East Champaran,845301,557,1132,86,1775
West Bengal,North 24 Parganas,743423,1396,289,89,1774
Bihar,Patna,801110,428,1270,76,1774
Gujarat,Rajkot,360004,1278,360,132,1770
Delhi,South Delhi,110044,1390,367,12,1769
Uttar Pradesh,Azamgarh,276305,473,1262,33,1768
Meghalaya,South Garo Hills,794102,163,914,687,1764
Uttar Pradesh,Varanasi,221007,860,889,15,1764
Assam,Hojai,782435,1284,437,41,1762
Uttar Pradesh,Sitapur,261204,866,828,66,1760
Uttar Pradesh,Firozabad,283204,1019,713,25,1757
Haryana,Hisar,125001,1609,136,11,1756
Bihar,Pashchim Champaran,845454,451,1263,41,1755
Gujarat,Bhavnagar,364001,1535,170,49,1754
Bihar,Bhojpur,802301,489,1240,22,1751
Madhya Pradesh,Burhanpur,450332,1071,640,35,1746
Uttar Pradesh,Maharajganj,273162,598,1125,22,1745
Uttar Pradesh,Baghpat,250611,859,838,48,1745
Uttar Pradesh,Sitapur,261303,941,765,35,1741
Madhya Pradesh,Betul,460001,1484,209,41,1734
Bihar,Purbi Champaran,845303,320,1330,83,1733
Gujarat,Banaskantha,385310,723,709,298,1730
Punjab,Gurdaspur,143505,1429,220,80,1729
Madhya Pradesh,Ujjain,456006,1477,216,32,1725
Bihar,East Champaran,845305,490,1107,127,1724
Bihar,Bhagalpur,813213,655,1005,59,1719
Haryana,Rohtak,124001,1527,133,59,1719
Madhya Pradesh,Barwani,451770,971,698,38,1707
Assam,Marigaon,782105,924,503,277,1704
Haryana,Gurugram,122001,1166,439,98,1703
Bihar,Samastipur,848114,918,771,14,1703
Bihar,Katihar,855113,1322,376,2,1700
Uttar Pradesh,Maharajganj,273305,590,1009,100,1699
Chhattisgarh,Raigarh,496001,1522,159,16,1697
Uttar Pradesh,Bahraich,271825,567,1041,87,1695
Uttar Pradesh,Mainpuri,205262,718,949,28,1695
Maharashtra,Dhule,424304,885,644,160,1689
Uttar Pradesh,Sitapur,261203,1009,639,31,1679
Bihar,Katihar,854105,908,735,33,1676
Bihar,Purbi Champaran,845305,469,971,235,1675
Uttar Pradesh,Jaunpur,222139,435,1182,54,1671
Uttar Pradesh,Bijnor,246763,1310,335,26,1671
West Bengal,Uttar Dinajpur,733134,1320,309,33,1662
Chhattisgarh,Bijapur,494447,727,515,418,1660
Bihar,Pashchim Champaran,845452,491,1121,43,1655
Madhya Pradesh,Sehore,466001,1417,218,16,1651
Bihar,Muzaffarpur,843103,1050,575,25,1650
Bihar,West Champaran,845106,659,952,37,1648
Jharkhand,West Singhbhum,833201,828,781,35,1644
Gujarat,Botad,364710,1359,210,73,1642
Karnataka,Bengaluru,560068,941,421,278,1640
Assam,Dhubri,783334,1194,396,50,1640
Maharashtra,Palghar,401208,842,781,16,1639
Karnataka,Bengaluru Urban,560068,742,531,365,1638
Maharashtra,Parbhani,431401,1197,358,82,1637
Bihar,Kaimur (Bhabua),821108,630,972,32,1634
Haryana,Palwal,121102,1514,116,2,1632
Bihar,Purbi Champaran,845301,423,1077,132,1632
Uttar Pradesh,Sitapur,261208,792,779,59,1630
Uttar Pradesh,Kheri,262903,608,961,56,1625
Uttar Pradesh,Agra,282005,793,761,68,1622
Uttar Pradesh,Shahjahanpur,242301,941,657,24,1622
Bihar,Sheohar,843329,1092,522,7,1621
Bihar,Sitamarhi,843315,636,909,73,1618
Assam,Golaghat,785601,756,631,222,1609
Maharashtra,Hingoli,431512,1290,270,46,1606
Meghalaya,West Garo Hills,794005,217,742,646,1605
Maharashtra,Satara,415523,1246,285,73,1604
Uttar Pradesh,Rae Bareli,229001,909,691,4,1604
Haryana,Faridabad,121003,1117,434,53,1604
Assam,Karimganj,788720,1101,474,27,1602
Bihar,Purbi Champaran,845433,391,1124,87,1602
Chhattisgarh,Durg,491001,1337,231,34,1602
Assam,Marigaon,782410,1005,431,166,1602
Chhattisgarh,Kondagaon,494226,987,610,3,1600
Bihar,Muzaffarpur,843128,819,750,31,1600
Uttar Pradesh,Gautam Buddha Nagar,203207,798,767,34,1599
Maharashtra,Sangli,416410,1103,451,45,1599
Assam,Kamrup,781354,1040,432,123,1595
Jharkhand,Chatra,825401,930,650,12,1592
Bihar,Madhubani,847225,805,757,28,1590
Rajasthan,Ajmer,305901,1315,249,24,1588
Rajasthan,Jaipur,302003,1144,385,46,1575
Uttar Pradesh,Aligarh,202002,801,750,22,1573
Madhya Pradesh,Khargone,451331,1011,515,46,1572
Uttar Pradesh,Varanasi,221101,532,1020,19,1571
Uttar Pradesh,Kushi Nagar,274304,779,777,14,1570
West Bengal,Malda,732201,1086,479,3,1568
Madhya Pradesh,Bhind,477557,968,536,57,1561
Maharashtra,Nashik,422003,1090,453,17,1560
Rajasthan,Jalor,343040,862,674,20,1556
Bihar,Muzaffarpur,842001,591,861,103,1555
Uttar Pradesh,Ghaziabad,245304,811,716,27,1554
Assam,Dhemaji,787060,769,484,294,1547
Gujarat,Banaskantha,385001,1051,394,99,1544
Rajasthan,Hanumangarh,335523,1007,518,18,1543
West Bengal,Murshidabad,742224,1360,182,0,1542
Rajasthan,Udaipur,307025,567,913,62,1542
Uttar Pradesh,Gonda,271503,887,597,57,1541
Rajasthan,Bikaner,331803,739,770,23,1532
Chhattisgarh,Balrampur,497225,1130,401,1,1532
Rajasthan,Banswara,327001,940,582,3,1525
Uttar Pradesh,Saharanpur,247554,1035,483,6,1524
Rajasthan,Bharatpur,321203,790,708,24,1522
Uttar Pradesh,Kanpur Nagar,209206,573,909,37,1519
Uttar Pradesh,Kaushambi,212201,917,587,13,1517
Bihar,Purnia,854301,787,697,29,1513
Gujarat,Panchmahals,389001,1104,301,106,1511
Bihar,Muzaffarpur,843113,705,768,37,1510
Maharashtra,Solapur,413304,1214,240,55,1509
West Bengal,Malda,732124,945,526,34,1505
Madhya Pradesh,Chhindwara,480001,1397,90,16,1503
Assam,Sonitpur,784110,945,445,108,1498
West Bengal,Uttar Dinajpur,733129,969,416,110,1495
Rajasthan,Bhilwara,311001,1203,270,18,1491
Bihar,Madhepura,852210,629,856,5,1490
Uttar Pradesh,Azamgarh,276404,604,870,15,1489
Rajasthan,Bharatpur,321204,1124,331,28,1483
Assam,Cachar,788815,1048,334,100,1482
Assam,Dhemaji,787057,773,387,322,1482
Bihar,Madhubani,847408,944,535,3,1482
Bihar,Nawada,805104,235,1209,35,1479
Bihar,Nawada,805103,235,1216,26,1477
Madhya Pradesh,Barwani,451449,913,513,50,1476
Bihar,West Champaran,845306,482,907,86,1475
Meghalaya,East Khasi Hills,793111,256,820,399,1475
Rajasthan,Jalor,343029,832,586,54,1472
Rajasthan,Churu,331001,999,454,18,1471
Bihar,East Champaran,845415,483,955,30,1468
West Bengal,Murshidabad,742213,1292,175,1,1468
Madhya Pradesh,Panna,488220,961,492,15,1468
Uttar Pradesh,Kushinagar,274304,707,752,8,1467
Madhya Pradesh,Betul,460330,1131,309,25,1465
Assam,Golaghat,785705,903,417,139,1459
Rajasthan,Sikar,332001,1013,406,38,1457
Rajasthan,Churu,331022,913,523,21,1457
Bihar,Madhubani,847232,657,663,137,1457
Rajasthan,Barmer,344704,799,645,4,1448
Madhya Pradesh,Morena,476444,725,596,122,1443
West Bengal,Coochbehar,736135,741,635,64,1440
Bihar,Purnia,854330,1122,310,5,1437
Uttar Pradesh,Varanasi,221104,510,904,23,1437
Uttar Pradesh,Kanpur Nagar,208021,702,710,25,1437
Bihar,Nawada,805110,301,1091,44,1436
Haryana,Sonipat,131001,1271,129,31,1431
Rajasthan,Jaipur,302016,964,414,51,1429
Maharashtra,Yavatmal,445204,1035,358,36,1429
Meghalaya,East Khasi Hills,793113,270,830,327,1427
Uttar Pradesh,Mau,275101,590,830,3,1423
Delhi,Shahdara,110032,937,430,56,1423
Uttar Pradesh,Budaun,243635,684,706,31,1421
Delhi,South Delhi,110017,996,307,117,1420
